image,pure_em_time,pure_em_psnr,pure_em_ssim,n_init,n_gaussians_final,n_iterations,total_time,oracle_clamp,init_psnr,init_ssim,hybrid_mse,hybrid_rmse,hybrid_psnr,hybrid_ssim,hybrid_dssim,hybrid_lpips,hybrid_n_gaussians,hybrid_bits_per_pixel,hybrid_compression_ratio,hybrid_storage_mb,hybrid_original_bits,hybrid_compressed_bits,hybrid_quantization,hybrid_bits_per_gaussian,hybrid_l1,hybrid_loss
kodim11.png,54.58006978034973,21.099830374103803,0.4993607997894287,16,128,14,91.31201195716858,False,18.361085290733786,0.39897868037223816,0.013869733549654484,0.11776982992887497,18.57931871655744,0.3997241258621216,0.6002758741378784,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.08475913852453232,0.18786248564720154
kodim12.png,54.16884207725525,22.951095050090547,0.6708905100822449,16,128,14,87.26667976379395,False,17.34144028148849,0.6074956655502319,0.012974709272384644,0.11390658468008041,18.869023651727847,0.6057453155517578,0.3942546844482422,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.08380484580993652,0.14589481353759767
kodim13.png,70.66591382026672,18.8152844189657,0.2523709535598755,16,128,14,102.21872210502625,False,17.363572069195833,0.20725394785404205,0.020152105018496513,0.1419581174850464,16.956796138752086,0.20237405598163605,0.7976259589195251,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.11015091091394424,0.24764592051506043
kodim14.png,91.18799257278442,19.17135853553556,0.3360021412372589,16,128,14,130.2549524307251,False,17.53480723609814,0.2803249657154083,0.017262034118175507,0.13138505816459656,17.629080094800052,0.28172433376312256,0.7182756662368774,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.09811262041330338,0.2221452295780182
kodim15.png,72.66675782203674,20.771531562191075,0.646486759185791,16,128,14,106.72322726249695,False,14.023541133332067,0.4599740505218506,0.02349257282912731,0.1532728672027588,16.290694283555357,0.4727667272090912,0.5272332429885864,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.11063768714666367,0.19395679831504825
kodim16.png,59.848304986953735,25.12941734734024,0.5768949389457703,16,128,14,94.69869446754456,False,21.863740584910367,0.5254490971565247,0.006516899913549423,0.08072731643915176,21.85958973677128,0.5274879932403564,0.47251200675964355,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.05800000950694084,0.1409024089574814
kodim17.png,70.1266233921051,21.68274732627485,0.48487329483032227,16,128,14,102.43228363990784,False,18.68186797943386,0.3751106262207031,0.013626952655613422,0.11673454195261002,18.65601236898443,0.3617549240589142,0.6382451057434082,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.09020660072565079,0.19981430172920228
kodim18.png,55.68033289909363,20.372414113953315,0.3725556433200836,16,128,14,88.04056453704834,False,18.34795256804651,0.31320902705192566,0.014379780739545822,0.11991572380065918,18.422477505215895,0.3118184804916382,0.6881815195083618,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.08956082910299301,0.20928496718406678
kodim19.png,62.75261831283569,20.39437627680178,0.5162771344184875,16,128,14,92.31042170524597,False,18.667176436752467,0.4544890820980072,0.014926058240234852,0.12217225134372711,18.260548291634695,0.4434088170528412,0.5565911531448364,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.08614631742238998,0.18023528456687926
kodim20.png,64.99992036819458,20.234806960485496,0.6821756362915039,16,128,14,98.79691171646118,False,16.7135094204968,0.6116400361061096,0.022707894444465637,0.15069139003753662,16.43823134539162,0.5753639340400696,0.4246360659599304,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.10289371013641357,0.16724218130111695
kodim21.png,72.5482485294342,20.50492782637946,0.5494425892829895,16,128,14,102.29808187484741,False,17.598645192203154,0.4846111834049225,0.016034990549087524,0.12662933766841888,17.94931275360588,0.4797404706478119,0.5202594995498657,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.08710785955190659,0.17373818755149845
kodim22.png,55.30755162239075,21.990918998855385,0.4713173806667328,16,128,14,92.04690599441528,False,19.674213661119225,0.42705246806144714,0.009085114113986492,0.09531586617231369,20.416696312165264,0.42900171875953674,0.5709983110427856,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.06737682968378067,0.1681011259555817
kodim23.png,52.097320318222046,21.078040872095052,0.6402885913848877,16,128,14,83.97998476028442,False,16.52904588274375,0.518825888633728,0.026464039459824562,0.16267772018909454,15.773438588803765,0.5177723169326782,0.4822276830673218,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.12134241312742233,0.19351946711540224
kodim24.png,69.78439784049988,20.210526550618756,0.3889192044734955,16,128,14,126.61806416511536,False,17.03494526287892,0.29230019450187683,0.017660947516560555,0.13289450109004974,17.529859789487055,0.2984095811843872,0.7015904188156128,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.10343525558710098,0.22306628823280336
