image,H,W,n_tiles,tile_h,tile_w,n_total_used,tile_time,gd_time,total_time,composite_mse,composite_rmse,composite_psnr,composite_ssim,composite_dssim,composite_lpips,composite_n_gaussians,composite_bits_per_pixel,composite_compression_ratio,composite_storage_mb,composite_original_bits,composite_compressed_bits,composite_quantization,composite_bits_per_gaussian,composite_l1,composite_loss
kodim15.png,256,256,16,64,64,1024,18.60631823539734,0.0,18.659393548965454,0.005714878439903259,0.07559681683778763,22.429929805001546,0.6798680424690247,0.32013195753097534,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.04970685765147209,0.10379187762737274
kodim16.png,256,256,16,64,64,1024,19.426518201828003,0.0,19.473900079727173,0.0021110891830176115,0.04594659060239792,26.754934249310544,0.6222582459449768,0.3777417540550232,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.031682088971138,0.10089402198791504
kodim17.png,256,256,16,64,64,1024,18.264014959335327,0.0,18.30904269218445,0.005459209438413382,0.0738864615559578,22.628702583693077,0.5478817820549011,0.4521182179450989,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.05268294736742973,0.13257000148296355
kodim18.png,256,256,16,64,64,1024,18.475351810455322,0.0,18.521663427352905,0.007095612585544586,0.08423545956611633,21.490101003553228,0.4461032450199127,0.5538967847824097,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.05810628458857536,0.15726438462734224
kodim19.png,256,256,16,64,64,1024,17.871612071990967,0.0,17.914619207382202,0.007321452721953392,0.085565485060215,21.35402735255628,0.5662970542907715,0.4337029457092285,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.05082229897379875,0.12739842832088472
kodim20.png,256,256,16,64,64,1024,21.753639936447144,0.0,21.805147886276245,0.0051175872795283794,0.0715373158454895,22.90934714517809,0.7277976870536804,0.2722023129463196,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.03873026371002197,0.0854246735572815
kodim21.png,256,256,16,64,64,1024,20.33080005645752,0.0,20.384767293930054,0.006851710379123688,0.0827750563621521,21.642010251255442,0.5928651690483093,0.4071348309516907,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.051114022731781006,0.12231818437576295
kodim22.png,256,256,16,64,64,1024,22.383416414260864,0.0,22.444169521331787,0.004583238158375025,0.0676996186375618,23.3882758150284,0.5234339237213135,0.4765660762786865,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.0467565692961216,0.1327184706926346
kodim23.png,256,256,16,64,64,1024,20.805835485458374,0.0,20.86101460456848,0.004120865371078253,0.0641939640045166,23.850115935938376,0.7067765593528748,0.29322344064712524,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.03949965909123421,0.09024441540241243
kodim24.png,256,256,16,64,64,1024,18.52385377883911,0.0,18.573851108551025,0.007264629006385803,0.08523279428482056,21.38786539902435,0.45942798256874084,0.5405720472335815,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.05996255204081535,0.15608445107936858
