epoch,loss,l1,dssim,mse,rmse,psnr,ssim,active_gaussians
27,0.46667957305908203,0.4599945843219757,0.49341943860054016,0.23479896783828735,0.4845605925354303,6.2930381636689265,0.5065805613994598,128
28,0.46655455231666565,0.4598594903945923,0.4933347702026367,0.23470117151737213,0.4844596696499845,6.294847424180686,0.5066652297973633,128
29,0.4664253294467926,0.4597223997116089,0.49323704838752747,0.23460572957992554,0.48436115614273356,6.296613854941969,0.5067629516124725,128
30,0.46629685163497925,0.4595830738544464,0.493151992559433,0.23451216518878937,0.48426456115308436,6.298346233934442,0.506848007440567,128
31,0.46616584062576294,0.45944204926490784,0.49306097626686096,0.23439966142177582,0.4841483878128438,6.300430197841993,0.506939023733139,128
32,0.46603935956954956,0.45930013060569763,0.49299633502960205,0.23430103063583374,0.48404651701652984,6.302258008528867,0.507003664970398,128
33,0.46590834856033325,0.4591543972492218,0.4929240643978119,0.23419052362442017,0.48393235438893745,6.304306821819169,0.5070759356021881,128
34,0.4657760262489319,0.4590085744857788,0.4928457736968994,0.23407454788684845,0.4838125131565413,6.306458065930025,0.5071542263031006,128
35,0.4656457304954529,0.45886167883872986,0.4927818775177002,0.2339717149734497,0.48370622796636564,6.308366414360101,0.5072181224822998,128
36,0.4655097424983978,0.4587123394012451,0.4926992356777191,0.23387354612350464,0.48360474162636646,6.31018899092456,0.5073007643222809,128
37,0.46536463499069214,0.4585557281970978,0.4926001727581024,0.233758807182312,0.48348609823066474,6.312320173236724,0.5073998272418976,128
38,0.4652267098426819,0.4584071934223175,0.49250462651252747,0.23365867137908936,0.4833825311066685,6.31418096918133,0.5074953734874725,128
39,0.46508079767227173,0.4582462012767792,0.4924190938472748,0.23354661464691162,0.48326660824736445,6.316264234196209,0.5075809061527252,128
40,0.4649384617805481,0.4580877721309662,0.4923412799835205,0.23343558609485626,0.4831517216101545,6.318329370225063,0.5076587200164795,128
41,0.46479567885398865,0.4579293429851532,0.49226105213165283,0.23332178592681885,0.4830339386904598,6.320447078008119,0.5077389478683472,129
42,0.4646286070346832,0.45772695541381836,0.49223506450653076,0.2331978678703308,0.48290565110622885,6.322754244659964,0.5077649354934692,129
43,0.4644823670387268,0.45756277441978455,0.4921606779098511,0.23308050632476807,0.4827841197934829,6.324940469692081,0.5078393220901489,129
44,0.46433669328689575,0.457401841878891,0.49207615852355957,0.23297150433063507,0.48267121763228754,6.326971958209626,0.5079238414764404,129
45,0.46417874097824097,0.45722898840904236,0.49197784066200256,0.23284758627414703,0.48254283361598793,6.329282594698029,0.5080221593379974,129
46,0.46403440833091736,0.45706427097320557,0.491914838552475,0.23273055255413055,0.4824215506734028,6.331465991881428,0.508085161447525,129
47,0.4638769328594208,0.4568854570388794,0.49184277653694153,0.2326003909111023,0.4822866273401143,6.333895595395508,0.5081572234630585,129
48,0.46372848749160767,0.45671406388282776,0.4917861223220825,0.23247796297073364,0.48215968617329846,6.336182082379663,0.5082138776779175,129
